,Rank (2017),City,Counties,State,Mayor,Nickname,Population Estimate (2017),2010 Census,Change,2016 Land Area (sq mi),2016 Population Density (per sq mi),"Location (N,W)"
239,240.0,Lansing,"Ingham, Clinton, Eaton",Michigan,Andy Schor ,Capital City,118427,114297,+3.61%,39.1,2967,"(42.7143, 84.5593)"
240,241.0,Evansville,Vanderburgh,Indiana,Lloyd Winnecke , Eville,117963,117429,+0.45%,47.3,2526,"(37.9877, 87.5347)"
241,242.0,Rochester,Olmsted,Minnesota,Kim Norton ,"""Med City""",116961,106769,+9.55%,54.6,2088,"(44.0154, 92.4772)"
242,243.0,Independence,Jackson,Missouri,Eileen Weir,None,116925,116830,+0.08%,77.8,1504,"(39.0855, 94.3521)"
243,244.0,Fairfield,Solano,California,Harry T. Price,None,116884,105321,+10.98%,40.9,2806,"(38.2593, 122.0321)"
244,245.0,Provo,Utah,Utah,Michelle Kaufusi,None,116702,112488,+3.75%,41.7,2803,"(40.2453, 111.6448)"
245,246.0,Clearwater,Pinellas,Florida,George N. Cretekos,None,116478,107685,+8.17%,25.9,4415,"(27.9789, 82.7666)"
246,247.0,College Station,Brazos,Texas,Karl Mooney,None,116218,93857,+23.82%,51.0,2199,"(30.5852, 96.2964)"
247,248.0,West Jordan,Salt Lake,Utah,N/A,None,116046,103712,+11.89%,32.3,3520,"(40.6024, 112.0008)"
248,249.0,Carlsbad,San Diego,California,Carl Armstrong-Champ,Village by the Sea,115877,105328,+10.02%,37.7,3023,"(33.1239, 117.2828)"
249,250.0,El Monte,Los Angeles,California,Andre Quintero,None,115586,113475,+1.86%,9.6,12063,"(34.0746, 118.0291)"
250,251.0,Murrieta,Riverside,California,Randon Lane,None,114985,103466,+11.13%,33.6,3324,"(33.5721, 117.1904)"
251,252.0,Temecula,Riverside,California,Michael Naggar,None,114742,100097,+14.63%,37.3,3031,"(33.4931, 117.1317)"
252,253.0,Springfield,Sangamon,Illinois,Jim Langfelder ,None,114694,116250,-1.34%,60.1,1925,"(39.7911, 89.6446)"
253,254.0,Palm Bay,Brevard,Florida,William Capote,None,114194,103190,+10.66%,65.7,1676,"(27.9856, 80.6626)"
254,255.0,Costa Mesa,Orange,California,Katrina Foley,None,113615,109960,+3.32%,15.7,7186,"(33.6659, 117.9123)"
255,256.0,Westminster,Westminster,Colorado,Herb Atchison,None,113479,106114,+6.94%,31.7,3592,"(39.8822, 105.0644)"
256,257.0,North Charleston,"Berkeley, Charleston, Dorchester",South Carolina,R. Keith Summey,"""A great place to live",113237,97471,+16.18%,73.7,1483,"(32.9178, 80.0650)"
257,258.0,Miami Gardens,Miami-Dade,Florida,Oliver G. Gilbert III,None,113069,107167,+5.51%,18.2,6212,"(25.9489, 80.2436)"
258,259.0,Manchester,Hillsborough,New Hampshire,Joyce Craig ,Queen City,112525,109565,+2.70%,33.1,3339,"(42.9849, 71.4441)"
